1;2;3;4
"La fundación continuará sin mecanismos formales de colaboración; las relaciones con socios serán transaccionales y esporádicas.";La fundación establecerá vínculos puntuales con algunos socios, sin estrategia común ni mecanismos de evaluación conjunta.;La fundación mantendrá acuerdos de colaboración a mediano plazo con socios clave, con objetivos definidos y flujos de información compartidos.;La fundación consolidará una colaboración estratégica, sostenida y simétrica con el ecosistema, desarrollando modelos de codesarrollo e innovación abierta.
La cadena de suministro se mantendrá manual o parcialmente digitalizada, con poca visibilidad.;Se digitalizarán algunos procesos logísticos, aunque sin integración con socios clave/estratégicos.;La fundación tendrá una cadena de suministro parcialmente automatizada e integrada con ciertos proveedores.;La cadena de suministro será completamente digital, trazable en tiempo real, con colaboración activa y analítica predictiva compartida.
La fundación seguirá sin contemplar marcos regulatorios digitales, manteniendo un alto riesgo de incumplimiento.;Se conocerán de forma básica los marcos regulatorios, respondiendo solo ante requerimientos externos.;Se implementarán mecanismos de cumplimiento con sistemas digitalizados, responsables asignados y procesos definidos.;La fundación anticipará cambios normativos con un enfoque proactivo, contando con gobernanza sólida, auditorías automatizadas y gestión integrada de riesgos.
"La fundación no impulsará innovación externa; los esfuerzos serán internos, aislados y esporádicos.";Se desarrollarán alianzas puntuales para innovación, sin procesos estructurados ni continuidad.;Se establecerán iniciativas formales de codesarrollo con terceros (startups, universidades, centros de I+D), con objetivos compartidos.;La fundación liderará ecosistemas de innovación abierta, integrando capacidades externas en ciclos ágiles y repetibles.
La fundación actuará de forma aislada, sin aportar diferenciación al ecosistema en el que participa.;Se ofrecerán servicios o productos básicos a socios, con escaso valor estratégico.;Se desarrollarán servicios o integraciones que aporten valor tangible a usuario externos y socios clave.;La fundación se posicionará como un habilitador estratégico del ecosistema, generando plataformas, estándares o capacidades compartidas de alto valor.
"La fundación no tendrá una visión digital clara; los objetivos seguirán siendo difusos o inexistentes.";La fundación declarará una visión digital, pero esta no será ampliamente comprendida ni compartida.;La fundación tendrá una visión digital claramente definida y conocida por los equipos clave.;La fundación proyectará una visión digital inspiradora, compartida en todos los niveles y traducida en objetivos concretos y medibles.
Las iniciativas digitales seguirán operando de forma aislada, sin conexión con las metas del negocio.;Algunas iniciativas digitales se alinearán parcialmente con los objetivos estratégicos, pero sin coordinación plena.;Las iniciativas digitales estarán alineadas con la estrategia del negocio y serán priorizadas según su impacto.;La fundación integrará completamente la estrategia digital con la estrategia empresarial, guiando decisiones clave y generando ventaja competitiva.
"La fundación continuará sin criterios claros para invertir en capacidades digitales; las decisiones se basan en un presupuesto.";Se asignarán recursos puntuales a iniciativas digitales sin una priorización estructurada.;La fundación asignará presupuesto a iniciativas digitales relevantes, evaluando su impacto y retorno.;Las inversiones digitales estarán priorizadas estratégicamente, vinculadas al roadmap de transformación y alineadas con los resultados de negocio.
La organización no medirá el impacto de las inversiones digitales ni contará con métricas establecidas.;Se utilizarán algunas métricas básicas, aunque sin una aplicación sistemática.;La organización medirá el impacto de las iniciativas digitales más relevantes mediante indicadores definidos.;El impacto digital será evaluado de forma integral, considerando impacto financiero, eficiencia operativa y valor generado para la fundación y los usuarios.
La estructura organizacional se mantendrá rígida y continuará presentando alta resistencia al cambio.;La fundación intentará adaptarse, pero su capacidad de implementación será limitada y lenta.;La fundación adaptará progresivamente procesos, estructuras y equipos frente a las transformaciones digitales.;La fundación responderá con agilidad ante cambios digitales, con estructuras flexibles y procesos de mejora continua institucionalizados.
La fundación no contará con mecanismos ni prácticas que fomenten la innovación.;Se impulsarán iniciativas de innovación puntuales, sin continuidad ni enfoque estratégico.;La fundación incorporará la innovación como parte de su cultura, con espacios, roles y procesos dedicados.;La innovación será sistematizada, incentivada y conectada con el ecosistema externo 
La gestión del talento digital seguirá siendo sin planificación ni desarrollo estructurado de competencias.;La fundación definirá perfiles digitales básicos, pero no contará aún con un plan sólido de desarrollo.;La fundación activará políticas claras para atraer, formar y retener talento digital.;La fundación integrará plenamente la gestión del talento con la estrategia digital, desarrollando programas de reskilling/upskilling y movilidad interna.
La comunicación digital se mantendrá limitada, desorganizada y poco efectiva.;La fundación utilizará canales digitales básicos para informar, sin fomentar colaboración ni alineación.;La comunicación interna será fluida, bidireccional y facilitará la alineación transversal.;La comunicación promoverá una cultura digital colaborativa, con herramientas integradas y procesos de escucha activa.
La fundación no contará con una estructura clara de toma de decisiones en temas digitales.;Se asignarán roles digitales de forma informal o dispersa.;La fundación establecerá una estructura de gobernanza digital con responsables definidos y coordinación entre áreas.;La gobernanza digital será formalizada, con autonomía operativa, rendición de cuentas y visión estratégica.
Las competencias digitales seguirán siendo limitadas y no se evaluarán formalmente.;La fundación identificará brechas y ejecutará acciones puntuales de capacitación.;Las competencias digitales serán evaluadas periódicamente y desarrolladas mediante programas estructurados.;La fundación impulsará el desarrollo continuo de habilidades digitales como eje estratégico, con rutas formativas adaptadas por perfil.
Los procesos clave se seguirán ejecutando de forma manual, con alta dependencia de personas.;Se automatizarán algunos procesos operativos, pero sin una estandarización clara.;Los procesos digitales estarán automatizados, documentados y contarán con monitoreo básico.;La fundación implementará una automatización extensiva, integrada a sistemas digitales, orientada a eficiencia y escalabilidad.
No se incorporarán metodologías formales para gestionar proyectos digitales.;Se utilizarán herramientas básicas y enfoques mixtos sin disciplina metodológica.;La fundación aplicará metodologías ágiles o híbridas con roles definidos y gestión colaborativa.;La gestión de proyectos digitales estará profesionalizada, basada en datos y enfocada en generación de valor.
No se aplicarán mediciones formales sobre la calidad de los servicios digitales.;Se enfocará la gestión en disponibilidad técnica, sin métricas de experiencia o satisfacción.;Se implementarán indicadores de servicio y ciclos de mejora continua.;La calidad del servicio será gestionada proactivamente, con KPIs de experiencia y mecanismos de respuesta en tiempo real.
Las decisiones operativas se continuarán tomando sin soporte estructurado de datos.;Se generarán reportes básicos con datos históricos.;La fundación utilizará dashboards operativos y análisis para optimizar procesos clave.;Se aplicarán modelos de analítica avanzada y predicción para apoyar decisiones operativas en tiempo real.
No se establecerán planes de continuidad digital ni protocolos de respuesta ante fallas.;Se identificarán riesgos críticos y se reaccionará ante incidentes, sin planificación robusta.;Se desarrollarán planes de recuperación documentados con pruebas periódicas.;La fundación monitoreará activamente la resiliencia operativa, utilizando modelos de riesgo, simulaciones y capacidades redundantes.
La fundación mantendrá una infraestructura limitada, sin robustez ni alineación tecnológica clara.;Se contará con infraestructura básica que cubra requerimientos mínimos de desempeño y seguridad.;Se dispondrá de una infraestructura estandarizada, monitoreada y con capacidad de escalar progresivamente, soportando herramientas digitales clave.;La fundación contará con una infraestructura robusta, flexible, segura y escalable, totalmente alineada al roadmap digital estratégico.
Se continuará utilizando soluciones aisladas, sin lineamientos comunes ni consideraciones estructurales de eficiencia o seguridad.;Se establecerán principios básicos de arquitectura (como seguridad y disponibilidad), aunque su aplicación será parcial.;Se diseñará una arquitectura basada en principios de interoperabilidad, seguridad y escalabilidad, con gobernanza clara y participación de áreas de negocio.;La fundación dispondrá de una arquitectura empresarial modular, eficiente, segura y orientada a valor, con capas de integración, monitoreo continuo y evolución ágil del ecosistema de soluciones.
Se utilizarán herramientas o servicios en la nube de forma aislada, sin una estrategia definida.;Se empleará la nube para funciones específicas o no críticas, con evaluaciones iniciales de modelos cloud.;Se avanzará hacia una estrategia híbrida (públicas y privadas), con una migración planificada y criterios de seguridad, costos y escalabilidad.;La fundación adoptará intensivamente la nube como habilitador estratégico, con arquitectura cloud-native, entornos multicloud y automatización de despliegues.
Los sistemas continuarán sin integraciones formales, con procesos manuales y alta redundancia de datos.;Se desarrollarán integraciones puntuales con interoperabilidad limitada.;Se contará con integración sistemática y sincronizada entre procesos y sistemas críticos.;La fundación dispondrá de un ecosistema completamente integrado, con flujo de datos en tiempo real entre plataformas y mínima redundancia.
La fundación mantendrá los datos dispersos en múltiples sistemas, sin estructura ni estándares formales.;Se establecerán repositorios básicos con cierta estructura y acceso limitado a usuarios clave.;Se contará con una arquitectura de datos centralizada, con estándares definidos y un modelo básico de gobernanza.;La fundación dispondrá de una arquitectura de datos escalable e interoperable, diseñada para habilitar analítica avanzada, inteligencia artificial y toma de decisiones en tiempo real.
Los datos permanecerán de difícil acceso, con inconsistencias o falta de completitud para apoyar la toma de decisiones.;Se accederá a datos históricos validados parcialmente mediante procesos manuales.;Se tendrá acceso oportuno a datos clave, con validación sistemática y procesos de control de calidad establecidos.;Los datos estarán disponibles en tiempo real, con trazabilidad automática, alta confiabilidad y accesibilidad para todos los usuarios habilitados.
Las decisiones continuarán sin uso estructurado de analítica.;Se utilizarán reportes básicos y análisis descriptivos en algunas áreas específicas.;Se implementarán modelos analíticos para optimizar procesos y apoyar decisiones operativas.;Se desplegarán modelos predictivos y prescriptivos en procesos críticos, con capacidades analíticas distribuidas en toda la fundación.
La experiencia entre canales internos se mantendrá fragmentada, con herramientas inconexas y sin trazabilidad del usuario.;Digitalizaremos algunos canales internos, aunque seguirán existiendo inconsistencias y una integración parcial.;Los canales internos estarán parcialmente integrados, ofreciendo una experiencia más coherente y continua para los colaboradores.;Se ofrecerá una experiencia omnicanal totalmente integrada y trazable, con una vista única del colaborador en todos los canales digitales internos.
No se generará diferenciación en la experiencia digital entre usuarios internos.;Algunas funciones estarán adaptadas según el rol del usuario interno.;Personalizaremos la experiencia digital de acuerdo al rol, comportamiento y preferencias de cada usuario interno.;La experiencia digital será altamente personalizada, adaptativa y basada en datos del usuario en tiempo real.
No se establecerán mecanismos formales para recolectar retroalimentación digital de los usuarios internos.;Se aplicarán encuestas o buzones esporádicos, sin análisis sistemático.;Se recogerá feedback de forma periódica y se vinculará a iniciativas de mejora continua.;El feedback se recopilará y analizará en tiempo real, alimentando procesos de mejora continua basados en datos.
El usuario dependerá completamente del soporte humano para realizar tareas digitales básicas.;Permitiremos que algunos procesos se ejecuten sin intervención humana, aunque con fricciones o limitaciones.;El usuario interno podrá resolver la mayoría de sus necesidades digitales de forma autónoma mediante herramientas efectivas.;Se habilitará una experiencia digital autónoma, con soporte proactivo y herramientas inteligentes para la autogestión avanzada.
No se habrá identificado ni mapeado el recorrido digital del colaborador.;Identificaremos puntos críticos del recorrido a través de experiencias informales.;El journey digital del colaborador estará mapeado y optimizado parcialmente con base en datos y retroalimentación.;Se gestionará y optimizará el employee journey de manera continua, usando métricas de eficiencia, bienestar y experiencia digital.
La experiencia entre canales externos continuará fragmentada, con plataformas inconexas y sin trazabilidad del usuario externo.;Digitalizaremos algunos canales de atención al usuario externo, aunque con una integración parcial y experiencia inconsistente.;Los canales externos estarán parcialmente integrados, permitiendo una experiencia más fluida y coherente para los usuarios externos.;Brindaremos una experiencia omnicanal completamente integrada, continua y trazable, ofreciendo una vista única del usuario externo en todos los canales.
"No se aplicará personalización; todos los usuarios externos recibirán la misma experiencia digital genérica.";Se personalizarán algunos contenidos o servicios según segmentos generales del usuario externos.;Adaptaremos la experiencia digital de acuerdo con el comportamiento, historial y preferencias del usuario externo.;Ofreceremos una experiencia digital altamente personalizada, adaptativa y contextual, utilizando datos en tiempo real del usuario externo.
No se establecerán mecanismos para recolectar retroalimentación digital del usuario externo.;Se habilitarán mecanismos básicos de retroalimentación, sin un tratamiento estructurado.;Se recopilará feedback de forma periódica y se utilizará para mejorar productos, servicios y procesos.;Recogeremos y analizaremos la retroalimentación del usuario externo en tiempo real, impulsando decisiones estratégicas centradas en sus necesidades.
El usuario externo requerirá asistencia humana incluso para gestiones simples o recurrentes.;Se habilitarán procesos de autoservicio básicos, aunque con fricciones o limitaciones.;El usuario externo podrá autogestionar la mayoría de sus procesos a través de plataformas intuitivas y efectivas.;Se habilitará una experiencia autónoma, asistida por herramientas digitales inteligentes y soporte contextual, permitiendo máxima eficiencia al usuario externo.
No se habrá mapeado el customer journey ni se comprenderá estructuradamente la experiencia del usuario externo.;Identificaremos puntos críticos del recorrido del usuario externo, aunque sin acciones sistemáticas de mejora.;El customer journey estará mapeado y se optimizará de forma regular utilizando feedback y datos.;Se optimizará el journey en tiempo real, con métricas de experiencia, eficiencia y generación de valor alineadas al usuario externo.
